N,GPU_SIEVE,CPU_SIEVE,CPU_CLASSIC
1820,0.000043,0.000024,0.000884
1830,0.000013,0.000024,0.000890
1840,0.000013,0.000032,0.000894
1850,0.000010,0.000025,0.000975
1860,0.000015,0.000025,0.001232
1870,0.000015,0.000026,0.000947
1880,0.000012,0.000025,0.001155
1890,0.000010,0.000025,0.000935
1900,0.000011,0.000025,0.000992
1910,0.000023,0.000026,0.001105
1920,0.000015,0.000026,0.001008
1930,0.000013,0.000027,0.000994
1940,0.000012,0.000027,0.001013
1950,0.000013,0.000027,0.001345
1960,0.000014,0.000026,0.000989
1970,0.000013,0.000041,0.001523
1980,0.000011,0.000027,0.001236
1990,0.000012,0.000028,0.001036
2000,0.000049,0.000025,0.001049
2010,0.000014,0.000027,0.001453
2020,0.000014,0.000033,0.001098
2030,0.000057,0.000028,0.001139
2040,0.000028,0.000037,0.001136
2050,0.000013,0.000029,0.001666
2060,0.000014,0.000026,0.001551
2070,0.000012,0.000046,0.001232
2080,0.000013,0.000045,0.001526
2090,0.000012,0.000035,0.001393
2100,0.000013,0.000038,0.001482
2110,0.000012,0.000029,0.001120
2120,0.000013,0.000029,0.001244
2130,0.000014,0.000028,0.001083
2140,0.000012,0.000046,0.001464
2150,0.000011,0.000030,0.001236
2160,0.000015,0.000030,0.001483
2170,0.000013,0.000029,0.001192
2180,0.000013,0.000031,0.001667
2190,0.000022,0.000036,0.001327
2200,0.000010,0.000029,0.001474
2210,0.000013,0.000046,0.001871
2220,0.000012,0.000039,0.001493
2230,0.000012,0.000030,0.001400
2240,0.000014,0.000045,0.001615
2250,0.000012,0.000028,0.001529
2260,0.000012,0.000037,0.001407
2270,0.000026,0.000031,0.001295
2280,0.000011,0.000030,0.001234
2290,0.000014,0.000041,0.001630
2300,0.000020,0.000032,0.001283
2310,0.000011,0.000032,0.001296
2320,0.000012,0.000032,0.001307
2330,0.000011,0.000032,0.001325
2340,0.000011,0.000032,0.001322
2350,0.000011,0.000032,0.001341
2360,0.000053,0.000032,0.001305
2370,0.000013,0.000032,0.001309
2380,0.000012,0.000032,0.001360
2390,0.000013,0.000033,0.001399
2400,0.000010,0.000032,0.001459
2410,0.000030,0.000033,0.001711
2420,0.000012,0.000033,0.001462
2430,0.000015,0.000033,0.001397
2440,0.000011,0.000034,0.001442
2450,0.000012,0.000034,0.001421
2460,0.000012,0.000034,0.001439
2470,0.000013,0.000034,0.001433
2480,0.000033,0.000033,0.001604
2490,0.000013,0.000033,0.001507
2500,0.000011,0.000033,0.001420
2510,0.000013,0.000042,0.002300
2520,0.000011,0.000033,0.001476
2530,0.000021,0.000034,0.001521
2540,0.000011,0.000034,0.001452
2550,0.000013,0.000060,0.002273
2560,0.000030,0.000049,0.001586
2570,0.000017,0.000035,0.001822
2580,0.000015,0.000035,0.001836
2590,0.000034,0.000032,0.001551
2600,0.000013,0.000048,0.001879
2610,0.000012,0.000034,0.001641
2620,0.000032,0.000035,0.001901
2630,0.000027,0.000035,0.001530
2640,0.000012,0.000035,0.001670
2650,0.000010,0.000036,0.001738
2660,0.000012,0.000034,0.001676
2670,0.000012,0.000043,0.001653
2680,0.000022,0.000070,0.001599
2690,0.000011,0.000036,0.001628
2700,0.000013,0.000036,0.001631
2710,0.000012,0.000037,0.001644
2720,0.000011,0.000037,0.001668
2730,0.000012,0.000038,0.001686
2740,0.000012,0.000036,0.001763
2750,0.000011,0.000036,0.001639
2760,0.000012,0.000043,0.001805
2770,0.000011,0.000047,0.001798
2780,0.000010,0.000037,0.001727
2790,0.000033,0.000038,0.001678
2800,0.000032,0.000038,0.001724
2810,0.000033,0.000043,0.001862
2820,0.000011,0.000037,0.001708
2830,0.000030,0.000037,0.001740
2840,0.000012,0.000038,0.001721
2850,0.000012,0.000037,0.001829
2860,0.000014,0.000037,0.001723
2870,0.000011,0.000038,0.001830
